2007,115,Shawn Chacon,/players/c/chacosh01.shtml,chacosh01,29,PIT,NL,5,4,.556,3.94,64,4,11,0,0,1,96.0,95,42,42,9,48,11,79,7,0,1,428,111,4.53,1.490,8.9,0.8,4.5,7.4,1.65
2007,116,Joba Chamberlain,/players/c/chambjo03.shtml,chambjo03,21,NYY,AL,2,0,1.000,0.38,19,0,3,0,0,1,24.0,12,2,1,1,6,0,34,1,0,1,91,1221,1.82,0.750,4.5,0.4,2.3,12.8,5.67
2007,117,Bruce Chen*,/players/c/chenbr01.shtml,chenbr01,30,TEX,AL,0,0,,7.20,5,0,3,0,0,0,10.0,11,11,8,3,6,1,7,0,0,0,46,65,7.54,1.700,9.9,2.7,5.4,6.3,1.17
2007,118,Rocky Cherry,/players/c/cherrro01.shtml,cherrro01,27,TOT,MLB,1,1,.500,5.46,22,0,2,0,0,0,31.1,30,20,19,4,19,2,23,3,0,0,145,86,5.54,1.564,8.6,1.1,5.5,6.6,1.21
2007,119,Rocky Cherry,/players/c/cherrro01.shtml,cherrro01,27,CHC,NL,1,1,.500,3.00,12,0,2,0,0,0,15.0,13,6,5,1,6,1,13,1,0,0,66,157,3.77,1.267,7.8,0.6,3.6,7.8,2.17
2007,120,Rocky Cherry,/players/c/cherrro01.shtml,cherrro01,27,BAL,AL,0,0,,7.71,10,0,0,0,0,0,16.1,17,14,14,3,13,1,10,2,0,0,79,61,7.16,1.837,9.4,1.7,7.2,5.5,0.77
2007,121,Matt Chico*,/players/c/chicoma01.shtml,chicoma01,24,WSN,NL,7,9,.438,4.63,31,31,0,0,0,0,167.0,183,96,86,26,74,3,94,5,0,7,747,91,5.56,1.539,9.9,1.4,4.0,5.1,1.27
2007,122,Randy Choate*,/players/c/choatra01.shtml,choatra01,31,ARI,NL,0,0,,,2,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,3,,,,,,,,
2007,123,Vinnie Chulk,/players/c/chulkvi01.shtml,chulkvi01,28,SFG,NL,5,4,.556,3.57,57,0,15,0,0,0,53.0,53,22,21,3,14,2,41,2,0,2,222,126,3.33,1.264,9.0,0.5,2.4,7.0,2.93
2007,124,Jeff Cirillo,/players/c/cirilje01.shtml,cirilje01,37,ARI,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,2,0,1,0,0,0,5,,7.24,2.000,0.0,0.0,18.0,9.0,0.50
2007,125,Darren Clarke,/players/c/clarkda06.shtml,clarkda06,26,COL,NL,0,0,,0.00,2,0,0,0,0,0,1.1,2,0,0,0,1,0,1,0,0,0,7,,3.99,2.250,13.5,0.0,6.8,6.8,1.00
2007,126,Roger Clemens,/players/c/clemero02.shtml,clemero02,44,NYY,AL,6,6,.500,4.18,18,17,0,0,0,0,99.0,99,52,46,9,31,0,68,5,0,7,420,108,4.14,1.313,9.0,0.8,2.8,6.2,2.19
2007,127,Tyler Clippard,/players/c/clippty01.shtml,clippty01,22,NYY,AL,3,1,.750,6.33,6,6,0,0,0,0,27.0,29,19,19,6,17,1,18,0,1,2,124,72,6.68,1.704,9.7,2.0,5.7,6.0,1.06
2007,128,Todd Coffey,/players/c/coffeto01.shtml,coffeto01,26,CIN,NL,2,1,.667,5.82,58,0,8,0,0,0,51.0,70,36,33,12,19,4,43,5,0,4,242,80,6.02,1.745,12.4,2.1,3.4,7.6,2.26
2007,129,Willie Collazo*,/players/c/collawi01.shtml,collawi01,27,NYM,NL,0,0,,6.35,6,0,1,0,0,0,5.2,7,4,4,0,5,1,0,0,0,0,27,72,5.89,2.118,11.1,0.0,7.9,0.0,0.00
2007,130,Jesus Colome,/players/c/colomje01.shtml,colomje01,29,WSN,NL,5,1,.833,3.82,61,0,16,0,0,1,66.0,64,30,28,6,27,3,43,1,0,4,286,111,4.39,1.379,8.7,0.8,3.7,5.9,1.59
2007,131,Bartolo Colon,/players/c/colonba01.shtml,colonba01,34,LAA,AL,6,8,.429,6.34,19,18,0,0,0,0,99.1,132,74,70,15,29,1,76,5,0,1,453,71,4.70,1.621,12.0,1.4,2.6,6.9,2.62
2007,132,Steve Colyer*,/players/c/colyest01.shtml,colyest01,28,ATL,NL,0,1,.000,4.91,7,0,1,0,0,0,3.2,9,2,2,1,4,0,4,0,0,1,22,97,7.88,3.545,22.1,2.5,9.8,9.8,1.00
2007,133,Clay Condrey,/players/c/condrcl01.shtml,condrcl01,31,PHI,NL,5,0,1.000,5.04,39,0,14,0,0,2,50.0,61,30,28,4,16,3,27,5,0,1,228,91,4.46,1.540,11.0,0.7,2.9,4.9,1.69
2007,134,Jose Contreras,/players/c/contrjo01.shtml,contrjo01,35,CHW,AL,10,17,.370,5.57,32,30,2,2,2,0,189.0,232,134,117,21,62,1,113,15,0,3,858,84,4.71,1.556,11.0,1.0,3.0,5.4,1.82
2007,135,Aaron Cook,/players/c/cookaa01.shtml,cookaa01,28,COL,NL,8,7,.533,4.12,25,25,0,2,0,0,166.0,178,87,76,15,44,6,61,6,0,0,698,117,4.58,1.337,9.7,0.8,2.4,3.3,1.39
2007,136,Tim Corcoran,/players/c/corcoti02.shtml,corcoti02,29,TBD,AL,0,0,,6.75,9,0,3,0,0,0,17.1,17,14,13,2,12,3,6,1,0,1,79,68,6.30,1.673,8.8,1.0,6.2,3.1,0.50
2007,137,Chad Cordero,/players/c/cordech01.shtml,cordech01,25,WSN,NL,3,3,.500,3.36,76,0,59,0,0,37,75.0,75,31,28,8,29,3,62,0,1,5,321,126,4.13,1.387,9.0,1.0,3.5,7.4,2.14
2007,138,Francisco Cordero,/players/c/cordefr01.shtml,cordefr01,32,MIL,NL,0,4,.000,2.98,66,0,58,0,0,44,63.1,52,23,21,4,18,1,86,1,0,2,261,149,2.25,1.105,7.4,0.6,2.6,12.2,4.78
2007,139,Bryan Corey,/players/c/coreybr01.shtml,coreybr01,33,BOS,AL,1,0,1.000,1.93,9,0,2,0,0,0,9.1,6,2,2,0,4,0,6,0,0,0,32,254,3.24,1.071,5.8,0.0,3.9,5.8,1.50
2007,140,Lance Cormier,/players/c/cormila01.shtml,cormila01,26,ATL,NL,2,6,.250,7.09,10,9,1,0,0,0,45.2,56,38,36,16,22,3,27,0,0,4,210,62,8.06,1.708,11.0,3.2,4.3,5.3,1.23
2007,141,Rheal Cormier*,/players/c/cormirh01.shtml,cormirh01,40,CIN,NL,0,0,,9.00,6,0,1,0,0,0,3.0,4,3,3,1,1,0,1,1,0,0,14,57,8.91,1.667,12.0,3.0,3.0,3.0,1.00
2007,142,Manny Corpas,/players/c/corpama01.shtml,corpama01,24,COL,NL,4,2,.667,2.08,78,0,46,0,0,19,78.0,63,20,18,6,20,3,58,2,0,0,306,232,3.60,1.064,7.3,0.7,2.3,6.7,2.90
2007,143,Kevin Correia,/players/c/correke01.shtml,correke01,26,SFG,NL,4,7,.364,3.45,59,8,9,0,0,0,101.2,94,39,39,9,40,7,80,2,1,1,437,130,4.06,1.318,8.3,0.8,3.5,7.1,2.00
2007,144,Neal Cotts*,/players/c/cottsne01.shtml,cottsne01,27,CHC,NL,0,1,.000,4.86,16,0,4,0,0,0,16.2,15,9,9,1,9,0,14,3,0,0,76,97,4.50,1.440,8.1,0.5,4.9,7.6,1.56
2007,145,Jon Coutlangus*,/players/c/coutljo01.shtml,coutljo01,26,CIN,NL,4,2,.667,4.39,64,0,9,0,0,0,41.0,38,22,20,3,27,0,38,4,0,6,187,106,4.61,1.585,8.3,0.7,5.9,8.3,1.41
2007,146,Jesse Crain,/players/c/crainje01.shtml,crainje01,25,MIN,AL,1,2,.333,5.51,18,0,5,0,0,0,16.1,19,16,10,4,4,0,10,1,1,0,71,80,6.12,1.408,10.5,2.2,2.2,5.5,2.50
2007,147,Juan Cruz,/players/c/cruzju02.shtml,cruzju02,28,ARI,NL,6,1,.857,3.10,53,0,15,0,0,0,61.0,45,28,21,7,32,3,87,5,2,1,262,154,3.70,1.262,6.6,1.0,4.7,12.8,2.72
2007,148,John Danks*,/players/d/danksjo01.shtml,danksjo01,22,CHW,AL,6,13,.316,5.50,26,26,0,0,0,0,139.0,160,92,85,28,54,4,109,4,0,3,622,86,5.54,1.540,10.4,1.8,3.5,7.1,2.02
2007,149,Dave Davidson*,/players/d/davidda01.shtml,davidda01,23,PIT,NL,0,0,,22.50,2,0,1,0,0,0,2.0,6,6,5,1,2,0,0,2,0,0,17,23,15.74,4.000,27.0,4.5,9.0,0.0,0.00
2007,150,Kyle Davies,/players/d/davieky01.shtml,davieky01,23,TOT,MLB,7,15,.318,6.09,28,28,0,0,0,0,136.0,155,102,92,22,70,4,99,5,1,8,628,73,5.54,1.654,10.3,1.5,4.6,6.6,1.41
2007,151,Kyle Davies,/players/d/davieky01.shtml,davieky01,23,ATL,NL,4,8,.333,5.76,17,17,0,0,0,0,86.0,92,61,55,12,44,3,59,2,1,1,389,76,5.29,1.581,9.6,1.3,4.6,6.2,1.34
2007,152,Kyle Davies,/players/d/davieky01.shtml,davieky01,23,KCR,AL,3,7,.300,6.66,11,11,0,0,0,0,50.0,63,41,37,10,26,1,40,3,0,7,239,69,5.98,1.780,11.3,1.8,4.7,7.2,1.54
2007,153,Doug Davis*,/players/d/davisdo02.shtml,davisdo02,31,ARI,NL,13,12,.520,4.25,33,33,0,0,0,0,192.2,211,100,91,21,95,7,144,5,1,10,862,112,4.72,1.588,9.9,1.0,4.4,6.7,1.52
2007,154,Jason Davis,/players/d/davisja02.shtml,davisja02,27,TOT,AL,2,0,1.000,5.84,24,0,9,0,0,0,37.0,42,27,24,4,25,2,19,2,2,2,177,77,5.81,1.811,10.2,1.0,6.1,4.6,0.76
2007,155,Jason Davis,/players/d/davisja02.shtml,davisja02,27,CLE,AL,0,0,,4.76,8,0,4,0,0,0,11.1,13,6,6,0,9,1,5,0,0,0,56,98,4.74,1.941,10.3,0.0,7.1,4.0,0.56
2007,156,Jason Davis,/players/d/davisja02.shtml,davisja02,27,SEA,AL,2,0,1.000,6.31,16,0,5,0,0,0,25.2,29,21,18,4,16,1,14,2,2,2,121,70,6.28,1.753,10.2,1.4,5.6,4.9,0.88
2007,157,Kane Davis,/players/d/daviska01.shtml,daviska01,32,PHI,NL,0,1,.000,5.56,11,0,1,0,0,0,11.1,17,7,7,2,8,2,10,0,0,0,59,85,5.89,2.206,13.5,1.6,6.4,7.9,1.25
2007,158,Dewon Day,/players/d/dayde01.shtml,dayde01,26,CHW,AL,0,1,.000,11.25,13,0,6,0,0,0,12.0,19,15,15,1,9,0,7,2,0,1,65,43,5.91,2.333,14.3,0.8,6.8,5.3,0.78
2007,159,Jordan De Jong,/players/d/dejonjo01.shtml,dejonjo01,28,TOR,AL,0,0,,8.00,6,0,4,0,0,0,9.0,11,9,8,0,5,0,7,0,0,0,42,58,3.35,1.778,11.0,0.0,5.0,7.0,1.40
2007,160,Frankie De La Cruz,/players/d/delaceu01.shtml,delaceu01,23,DET,AL,0,0,,6.75,6,0,4,0,0,0,6.2,10,8,5,1,4,1,5,0,0,3,32,71,5.49,2.100,13.5,1.4,5.4,6.8,1.25
2007,161,Jorge De La Rosa*,/players/r/rosajo01.shtml,rosajo01,26,KCR,AL,8,12,.400,5.82,26,23,1,0,0,0,130.0,160,88,84,20,53,6,82,3,1,4,589,79,5.27,1.638,11.1,1.4,3.7,5.7,1.55
2007,162,Manny Delcarmen,/players/d/delcama01.shtml,delcama01,25,BOS,AL,0,0,,2.05,44,0,5,0,0,1,44.0,28,11,10,4,17,1,41,2,0,0,176,233,3.85,1.023,5.7,0.8,3.5,8.4,2.41
2007,163,Ryan Dempster,/players/d/dempsry01.shtml,dempsry01,30,CHC,NL,2,7,.222,4.73,66,0,58,0,0,28,66.2,59,36,35,8,30,4,55,1,1,2,282,98,4.54,1.335,8.0,1.1,4.1,7.4,1.83
2007,164,Julio DePaula,/players/d/depauju01.shtml,depauju01,24,MIN,AL,0,1,.000,8.55,16,0,7,0,0,0,20.0,30,20,19,5,10,1,8,3,0,0,99,51,7.64,2.000,13.5,2.3,4.5,3.6,0.80
2007,165,Matt DeSalvo,/players/d/desalma01.shtml,desalma01,26,NYY,AL,1,3,.250,6.18,7,6,0,0,0,0,27.2,34,20,19,2,18,0,10,3,0,2,135,74,5.73,1.880,11.1,0.7,5.9,3.3,0.56
2007,166,Elmer Dessens,/players/d/desseel01.shtml,desseel01,36,TOT,NL,2,2,.500,7.15,17,5,7,0,0,0,34.0,45,32,27,6,12,0,22,0,0,0,156,66,5.30,1.676,11.9,1.6,3.2,5.8,1.83
2007,167,Elmer Dessens,/players/d/desseel01.shtml,desseel01,36,MIL,NL,1,1,.500,6.60,12,0,7,0,0,0,15.0,24,16,11,3,3,0,12,0,0,0,69,69,4.84,1.800,14.4,1.8,1.8,7.2,4.00
2007,168,Elmer Dessens,/players/d/desseel01.shtml,desseel01,36,COL,NL,1,1,.500,7.58,5,5,0,0,0,0,19.0,21,16,16,3,9,0,10,0,0,0,87,64,5.66,1.579,9.9,1.4,4.3,4.7,1.11
2007,169,Ross Detwiler*,/players/d/detwiro01.shtml,detwiro01,21,WSN,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,4,,1.24,0.000,0.0,0.0,0.0,9.0,
2007,170,Joey Devine,/players/d/devinjo01.shtml,devinjo01,23,ATL,NL,1,0,1.000,1.08,10,0,5,0,0,0,8.1,7,1,1,0,8,2,7,0,0,1,39,420,4.44,1.800,7.6,0.0,8.6,7.6,0.88
2007,171,Lenny DiNardo*,/players/d/dinarle01.shtml,dinarle01,27,OAK,AL,8,10,.444,4.11,35,20,9,0,0,0,131.1,136,74,60,13,50,2,59,3,0,2,555,104,4.84,1.416,9.3,0.9,3.4,4.0,1.18
2007,172,Scott Dohmann,/players/d/dohmasc01.shtml,dohmasc01,29,TBD,AL,3,0,1.000,3.31,31,0,8,0,0,0,32.2,29,13,12,3,18,1,26,0,0,0,136,138,4.50,1.439,8.0,0.8,5.0,7.2,1.44
2007,173,Brendan Donnelly,/players/d/donnebr01.shtml,donnebr01,35,BOS,AL,2,1,.667,3.05,27,0,4,0,0,0,20.2,19,8,7,0,5,0,15,4,0,2,90,158,3.09,1.161,8.3,0.0,2.2,6.5,3.00
2007,174,Octavio Dotel,/players/d/doteloc01.shtml,doteloc01,33,TOT,MLB,2,1,.667,4.11,33,0,25,0,0,11,30.2,29,16,14,4,12,4,41,4,0,2,138,112,3.83,1.337,8.5,1.2,3.5,12.0,3.42
2007,175,Octavio Dotel,/players/d/doteloc01.shtml,doteloc01,33,KCR,AL,2,1,.667,3.91,24,0,22,0,0,11,23.0,24,11,10,3,11,4,29,4,0,2,108,118,4.37,1.522,9.4,1.2,4.3,11.3,2.64
2007,176,Octavio Dotel,/players/d/doteloc01.shtml,doteloc01,33,ATL,NL,0,0,,4.70,9,0,3,0,0,0,7.2,5,5,4,1,1,0,12,0,0,0,30,97,2.20,0.783,5.9,1.2,1.2,14.1,12.00
2007,177,Dennis Dove,/players/d/dovede01.shtml,dovede01,25,STL,NL,0,0,,15.00,3,0,1,0,0,0,3.0,5,5,5,2,1,0,1,0,0,0,15,33,12.24,2.000,15.0,6.0,3.0,3.0,1.00
2007,178,Scott Downs*,/players/d/downssc01.shtml,downssc01,31,TOR,AL,4,2,.667,2.17,81,0,13,0,0,1,58.0,47,15,14,3,24,3,57,1,1,2,239,207,3.24,1.224,7.3,0.5,3.7,8.8,2.38
2007,179,Cory Doyne,/players/d/doyneco01.shtml,doyneco01,25,BAL,AL,0,0,,14.73,5,0,3,0,0,0,3.2,7,6,6,1,3,0,2,1,0,0,22,34,8.97,2.727,17.2,2.5,7.4,4.9,0.67
2007,180,Travis Driskill,/players/d/drisktr01.shtml,drisktr01,35,HOU,NL,0,1,.000,4.50,2,0,1,0,0,0,6.0,10,6,3,1,1,0,4,0,0,0,29,104,4.57,1.833,15.0,1.5,1.5,6.0,4.00
2007,181,Justin Duchscherer,/players/d/duchsju01.shtml,duchsju01,29,OAK,AL,3,3,.500,4.96,17,0,2,0,0,0,16.1,18,9,9,3,8,3,13,0,0,0,75,87,5.51,1.592,9.9,1.7,4.4,7.2,1.63
2007,182,Brandon Duckworth,/players/d/duckwbr01.shtml,duckwbr01,31,KCR,AL,3,5,.375,4.63,26,3,6,0,0,1,46.2,51,30,24,3,23,2,21,1,0,7,211,99,4.72,1.586,9.8,0.6,4.4,4.1,0.91
2007,183,Zach Duke*,/players/d/dukeza01.shtml,dukeza01,24,PIT,NL,3,8,.273,5.53,20,19,0,0,0,0,107.1,161,74,66,14,25,2,41,3,1,0,482,79,4.95,1.733,13.5,1.2,2.1,3.4,1.64
2007,184,Phil Dumatrait*,/players/d/dumatph01.shtml,dumatph01,25,CIN,NL,0,4,.000,15.00,6,6,0,0,0,0,18.0,39,30,30,6,12,0,9,1,0,0,104,31,8.74,2.833,19.5,3.0,6.0,4.5,0.75
2007,185,Chad Durbin,/players/d/durbich01.shtml,durbich01,29,DET,AL,8,7,.533,4.72,36,19,7,0,0,1,127.2,133,71,67,21,49,4,66,8,0,2,561,97,5.68,1.426,9.4,1.5,3.5,4.7,1.35
2007,186,J.D. Durbin,/players/d/durbijd01.shtml,durbijd01,25,TOT,NL,6,5,.545,6.06,19,10,4,1,1,1,65.1,78,49,44,6,37,4,40,2,0,2,305,76,5.00,1.760,10.7,0.8,5.1,5.5,1.08
2007,187,J.D. Durbin,/players/d/durbijd01.shtml,durbijd01,25,ARI,NL,0,0,,94.50,1,0,0,0,0,0,0.2,7,7,7,0,1,0,1,0,0,0,10,7,4.74,12.000,94.5,0.0,13.5,13.5,1.00
2007,188,J.D. Durbin,/players/d/durbijd01.shtml,durbijd01,25,PHI,NL,6,5,.545,5.15,18,10,4,1,1,1,64.2,71,42,37,6,36,4,39,2,0,2,295,89,5.00,1.655,9.9,0.8,5.0,5.4,1.08
2007,189,Adam Eaton,/players/e/eatonad01.shtml,eatonad01,29,PHI,NL,10,10,.500,6.29,30,30,0,0,0,0,161.2,192,117,113,30,71,4,97,11,0,6,734,73,5.97,1.627,10.7,1.7,4.0,5.4,1.37
2007,190,Scott Elarton,/players/e/elartsc01.shtml,elartsc01,31,KCR,AL,2,4,.333,10.46,9,9,0,0,0,0,37.0,53,44,43,12,21,0,13,3,0,2,185,44,8.70,2.000,12.9,2.9,5.1,3.2,0.62
2007,191,Alan Embree*,/players/e/embreal01.shtml,embreal01,37,OAK,AL,1,2,.333,3.97,68,0,36,0,0,17,68.0,67,30,30,5,19,5,51,0,0,0,284,107,3.53,1.265,8.9,0.7,2.5,6.8,2.68
2007,192,John Ennis,/players/e/ennisjo01.shtml,ennisjo01,27,PHI,NL,0,0,,8.22,3,1,1,0,0,1,7.2,12,7,7,1,3,0,8,0,0,0,38,58,4.02,1.957,14.1,1.2,3.5,9.4,2.67
2007,193,Kelvim Escobar,/players/e/escobke01.shtml,escobke01,31,LAA,AL,18,7,.720,3.40,30,30,0,3,1,0,195.2,182,79,74,11,66,2,160,3,0,9,812,133,3.39,1.267,8.4,0.5,3.0,7.4,2.42
2007,194,Dana Eveland*,/players/e/evelada01.shtml,evelada01,23,ARI,NL,1,0,1.000,14.40,5,1,0,0,0,0,5.0,8,8,8,0,5,0,3,0,0,1,28,35,5.04,2.600,14.4,0.0,9.0,5.4,0.60
2007,195,Scott Eyre*,/players/e/eyresc01.shtml,eyresc01,35,CHC,NL,2,1,.667,4.13,55,0,17,0,0,0,52.1,59,26,24,3,35,5,45,1,0,3,240,112,4.33,1.796,10.1,0.5,6.0,7.7,1.29
2007,196,Willie Eyre,/players/e/eyrewi01.shtml,eyrewi01,28,TEX,AL,4,6,.400,5.16,33,2,10,0,0,1,68.0,78,42,39,8,32,4,42,1,0,5,307,89,4.99,1.618,10.3,1.1,4.2,5.6,1.31
2007,197,Brian Falkenborg,/players/f/falkebr01.shtml,falkebr01,29,STL,NL,0,1,.000,4.82,16,0,2,0,0,0,18.2,22,10,10,2,8,0,16,1,0,1,84,93,4.36,1.607,10.6,1.0,3.9,7.7,2.00
2007,198,Kyle Farnsworth,/players/f/farnsky01.shtml,farnsky01,31,NYY,AL,2,1,.667,4.80,64,0,11,0,0,0,60.0,60,35,32,9,27,2,48,2,2,4,266,95,5.04,1.450,9.0,1.4,4.1,7.2,1.78
2007,199,Ryan Feierabend*,/players/f/feierry01.shtml,feierry01,21,SEA,AL,1,6,.143,8.03,13,9,0,0,0,0,49.1,73,44,44,10,23,2,27,4,0,3,236,55,6.42,1.946,13.3,1.8,4.2,4.9,1.17
2007,200,Scott Feldman,/players/f/feldmsc01.shtml,feldmsc01,24,TEX,AL,1,2,.333,5.77,29,0,10,0,0,0,39.0,44,26,25,3,32,5,19,3,2,2,192,80,5.96,1.949,10.2,0.7,7.4,4.4,0.59
2007,201,Pedro Feliciano*,/players/f/felicpe01.shtml,felicpe01,30,NYM,NL,2,2,.500,3.09,78,0,12,0,0,2,64.0,47,26,22,3,31,4,61,5,1,1,275,140,3.63,1.219,6.6,0.4,4.4,8.6,1.97
2007,202,Nate Field,/players/f/fieldna01.shtml,fieldna01,31,FLA,NL,0,0,,27.00,1,0,1,0,0,0,1.0,3,3,3,0,1,0,2,0,0,0,7,22,2.24,4.000,27.0,0.0,9.0,18.0,2.00
2007,203,Randy Flores*,/players/f/florera01.shtml,florera01,31,STL,NL,3,0,1.000,4.25,70,0,11,0,0,1,55.0,71,31,26,2,15,0,47,3,0,3,253,104,2.99,1.564,11.6,0.3,2.5,7.7,3.13
2007,204,Ron Flores*,/players/f/florero01.shtml,florero01,27,OAK,AL,0,2,.000,3.57,17,0,4,0,0,0,17.2,16,8,7,2,12,5,15,0,0,0,81,121,5.05,1.585,8.2,1.0,6.1,7.6,1.25
2007,205,Gavin Floyd,/players/f/floydga01.shtml,floydga01,24,CHW,AL,1,5,.167,5.27,16,10,4,0,0,0,70.0,85,45,41,17,19,0,49,6,0,1,314,89,6.07,1.486,10.9,2.2,2.4,6.3,2.58
2007,206,Josh Fogg,/players/f/foggjo01.shtml,foggjo01,30,COL,NL,10,9,.526,4.94,30,29,0,0,0,0,165.2,194,99,91,23,59,7,94,13,0,3,745,97,5.21,1.527,10.5,1.2,3.2,5.1,1.59
2007,207,Casey Fossum*,/players/f/fossuca01.shtml,fossuca01,29,TBD,AL,5,8,.385,7.70,40,10,7,0,0,0,76.0,109,71,65,15,27,1,53,6,0,3,364,59,5.71,1.789,12.9,1.8,3.2,6.3,1.96
2007,208,Jeff Francis*,/players/f/francje01.shtml,francje01,26,COL,NL,17,9,.654,4.22,34,34,0,1,1,0,215.1,234,103,101,25,63,7,165,7,1,1,922,114,4.19,1.379,9.8,1.0,2.6,6.9,2.62
2007,209,Frank Francisco,/players/f/francfr01.shtml,francfr01,27,TEX,AL,1,1,.500,4.55,59,0,16,0,0,0,59.1,57,33,30,3,38,4,49,2,0,8,268,101,4.27,1.601,8.6,0.5,5.8,7.4,1.29
2007,210,Ryan Franklin,/players/f/frankry01.shtml,frankry01,34,STL,NL,4,4,.500,3.04,69,0,8,0,0,1,80.0,70,28,27,8,11,0,44,3,0,2,317,145,3.97,1.013,7.9,0.9,1.2,5.0,4.00
2007,211,Jason Frasor,/players/f/frasoja01.shtml,frasoja01,29,TOR,AL,1,5,.167,4.58,51,0,18,0,0,3,57.0,47,29,29,3,23,1,59,2,1,2,242,98,3.17,1.228,7.4,0.5,3.6,9.3,2.57
2007,212,Brian Fuentes*,/players/f/fuentbr01.shtml,fuentbr01,31,COL,NL,3,5,.375,3.08,64,0,38,0,0,20,61.1,46,26,21,6,23,0,56,7,0,2,255,156,4.15,1.125,6.8,0.9,3.4,8.2,2.43
2007,213,Aaron Fultz*,/players/f/fultzaa01.shtml,fultzaa01,33,CLE,AL,4,3,.571,2.92,49,0,10,0,0,0,37.0,31,12,12,2,18,2,28,1,0,1,158,156,3.97,1.324,7.5,0.5,4.4,6.8,1.56
2007,214,Kason Gabbard*,/players/g/gabbaka01.shtml,gabbaka01,25,TOT,AL,6,1,.857,4.65,15,15,0,1,1,0,81.1,68,42,42,8,41,1,55,7,0,5,344,101,4.94,1.340,7.5,0.9,4.5,6.1,1.34
2007,215,Kason Gabbard*,/players/g/gabbaka01.shtml,gabbaka01,25,BOS,AL,4,0,1.000,3.73,7,7,0,1,1,0,41.0,28,17,17,3,18,0,29,4,0,0,165,128,4.39,1.122,6.1,0.7,4.0,6.4,1.61
2007,216,Kason Gabbard*,/players/g/gabbaka01.shtml,gabbaka01,25,TEX,AL,2,1,.667,5.58,8,8,0,0,0,0,40.1,40,25,25,5,23,1,26,3,0,5,179,82,5.50,1.562,8.9,1.1,5.1,5.8,1.13
2007,217,Eric Gagne,/players/g/gagneer01.shtml,gagneer01,31,TOT,AL,4,2,.667,3.81,54,0,41,0,0,16,52.0,49,22,22,3,21,0,51,1,0,1,222,123,3.30,1.346,8.5,0.5,3.6,8.8,2.43
2007,218,Eric Gagne,/players/g/gagneer01.shtml,gagneer01,31,TEX,AL,2,0,1.000,2.16,34,0,30,0,0,16,33.1,23,8,8,2,12,0,29,1,0,1,133,213,3.45,1.050,6.2,0.5,3.2,7.8,2.42
2007,219,Eric Gagne,/players/g/gagneer01.shtml,gagneer01,31,BOS,AL,2,2,.500,6.75,20,0,11,0,0,0,18.2,26,14,14,1,9,0,22,0,0,0,89,71,3.03,1.875,12.5,0.5,4.3,10.6,2.44
2007,220,Armando Galarraga,/players/g/galarar01.shtml,galarar01,25,TEX,AL,0,0,,6.23,3,1,2,0,0,0,8.2,8,6,6,2,7,0,6,0,0,0,40,76,7.28,1.731,8.3,2.1,7.3,6.2,0.86
2007,221,Sean Gallagher,/players/g/gallase01.shtml,gallase01,21,CHC,NL,0,0,,8.59,8,0,3,0,0,1,14.2,19,15,14,3,12,0,5,1,0,0,74,55,7.88,2.114,11.7,1.8,7.4,3.1,0.42
2007,222,Yovani Gallardo,/players/g/gallayo01.shtml,gallayo01,21,MIL,NL,9,5,.643,3.67,20,17,1,0,0,0,110.1,103,48,45,8,37,2,101,2,0,3,466,121,3.41,1.269,8.4,0.7,3.0,8.2,2.73
2007,223,Anderson Garcia,/players/g/garcian01.shtml,garcian01,26,PHI,NL,0,0,,13.50,1,0,0,0,0,0,0.2,2,1,1,0,0,0,0,0,0,0,4,51,3.24,3.000,27.0,0.0,0.0,0.0,
2007,224,Freddy Garcia,/players/g/garcifr03.shtml,garcifr03,30,PHI,NL,1,5,.167,5.90,11,11,0,0,0,0,58.0,74,39,38,12,19,3,50,5,0,5,264,78,5.45,1.603,11.5,1.9,2.9,7.8,2.63
2007,225,Harvey Garcia,/players/g/garciha01.shtml,garciha01,23,FLA,NL,0,1,.000,4.38,8,0,0,0,0,0,12.1,14,6,6,3,7,1,15,0,0,2,55,102,5.67,1.703,10.2,2.2,5.1,10.9,2.14
2007,226,Lee Gardner,/players/g/gardnle01.shtml,gardnle01,32,FLA,NL,3,4,.429,1.94,62,0,20,0,0,2,74.1,72,19,16,2,18,4,52,3,0,1,311,226,3.04,1.211,8.7,0.2,2.2,6.3,2.89
2007,227,Jon Garland,/players/g/garlajo01.shtml,garlajo01,27,CHW,AL,10,13,.435,4.23,32,32,0,2,1,0,208.1,219,114,98,19,57,3,98,4,0,1,883,111,4.36,1.325,9.5,0.8,2.5,4.2,1.72
2007,228,Matt Garza,/players/g/garzama01.shtml,garzama01,23,MIN,AL,5,7,.417,3.69,16,15,1,0,0,0,83.0,96,44,34,8,32,4,67,4,0,4,367,117,4.18,1.542,10.4,0.9,3.5,7.3,2.09
2007,229,Chad Gaudin,/players/g/gaudich01.shtml,gaudich01,24,OAK,AL,11,13,.458,4.42,34,34,0,1,0,0,199.1,205,108,98,21,100,8,154,8,1,3,886,96,4.69,1.530,9.3,0.9,4.5,7.0,1.54
